path,class,mock_density,filename_infix,runtime_imports,mockoon_imports,real_api_signals,playwright,suggested_name,reason
cloud/packages/tests/unit/steward-embedded-route.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/steward-oauth-url.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/steward-sync.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/steward-tenant-config.test.ts,KEEP,1,,false,false,true,false,,in_test_directory
cloud/packages/tests/unit/storage-proxy.test.ts,KEEP,8,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/token-agent-linkage.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/topup-handler.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/twilio-automation-service.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/twitter-oauth-routes.test.ts,KEEP,10,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/twitter-oauth2-client.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/users-repository.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/v1-agents-schema.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/validation.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/waifu-bridge.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/whatsapp-api-util.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/whatsapp-automation.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/workers-hono-auth.test.ts,KEEP,1,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/x402/facilitator-service.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/x402/plugin-cloud-integration.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/packages/tests/unit/z-anthropic-web-search.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/services/agent-server/__tests__/unit/config.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
cloud/services/agent-server/__tests__/unit/metadata-helpers.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
cloud/services/gateway-discord/tests/hash-router.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/services/gateway-discord/tests/leader-election.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/services/gateway-discord/tests/voice-message-handler.test.ts,KEEP,0,,false,false,false,false,,in_test_directory
cloud/services/gateway-webhook/__tests__/build-forward-body.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
cloud/services/gateway-webhook/__tests__/hash-router.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
cloud/services/gateway-webhook/__tests__/internal-auth.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/agent/src/actions/life-param-extractor-real.test.ts,KEEP,0,,true,true,false,false,,runtime_imports
packages/agent/src/actions/search.test.ts,KEEP,13,,true,false,false,false,,runtime_imports
packages/agent/src/actions/terminal.test.ts,DELETE,2,,false,false,false,false,,mocks_no_io_density=2
packages/agent/src/api/auth-routes.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/agent/src/api/chat-routes-usage.test.ts,KEEP,11,,true,false,false,false,,runtime_imports
packages/agent/src/api/server-helpers-auth.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/agent/src/providers/media-provider.real.test.ts,KEEP,0,real,false,false,true,false,media-provider.real.e2e.test.ts,infix:real
packages/agent/src/runtime/build-character-capability-hints.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/agent/src/runtime/operations/vault-integration.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/agent/src/services/app-manager-agents-list-guard.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/app-core/platforms/electrobun/src/desktop-http-request.test.ts,DELETE,2,,false,false,false,false,,mocks_no_io_density=2
packages/app-core/scripts/startup-integration-script-drift.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/app-core/src/api/android-native-agent-transport.test.ts,DELETE,4,,false,false,false,false,,mocks_no_io_density=4
packages/app-core/src/api/auth-bootstrap-routes.real.test.ts,KEEP,0,real,false,false,false,false,auth-bootstrap-routes.real.e2e.test.ts,http_server_setup
packages/app-core/src/api/auth-pairing-compat-routes.test.ts,DELETE,15,,false,false,false,false,,mocks_no_io_density=15
packages/app-core/src/api/auth-session-routes.real.test.ts,KEEP,0,real,false,false,false,false,auth-session-routes.real.e2e.test.ts,infix:real
packages/app-core/src/api/auth/bootstrap-token.real.test.ts,KEEP,0,real,false,false,false,false,bootstrap-token.real.e2e.test.ts,infix:real
packages/app-core/src/api/client-base-timeout.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/app-core/src/api/client-cloud-direct-auth.test.ts,DELETE,4,,false,false,false,false,,mocks_no_io_density=4
packages/app-core/src/api/csrf-client.test.ts,DELETE,6,,false,false,false,false,,mocks_no_io_density=6
packages/app-core/src/api/desktop-http-transport.test.ts,DELETE,5,,false,false,false,false,,mocks_no_io_density=5
packages/app-core/src/api/ios-local-agent-kernel.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/app-core/src/api/server-reset-hop.test.ts,DELETE,8,,false,false,false,false,,mocks_no_io_density=8
packages/app-core/src/components/shell/pairing-command.test.ts,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
packages/app-core/src/components/shell/RuntimeGate.cloud-provisioning.test.tsx,DELETE,40,,false,false,false,false,,mocks_no_io_density=40
packages/app-core/src/components/tool-events/ToolCallEventLog.test.tsx,CONVERT,0,,false,false,false,false,,pure_unit_no_signals
