name,material,role,bbox_x_mm,bbox_y_mm,bbox_z_mm,approx_solid_volume_cm3,recommended_print_axis_up,shapeways_pa12_standard_bbox_ok,shapeways_pa12_smooth_color_bbox_ok,stl,step,source_kind,source_asset,oem_baseline_meshes
left_chest_vent_black,eye_lip_detail,face_detail,5.0,8.0,48.0,1.92,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/left_chest_vent_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/left_chest_vent_black.step,primitive,,
right_chest_vent_black,eye_lip_detail,face_detail,5.0,8.0,48.0,1.92,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/right_chest_vent_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/right_chest_vent_black.step,primitive,,
rear_back_spine_plate,orange_armor,armor,28.0,88.0,224.0,551.94,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_back_spine_plate.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/rear_back_spine_plate.step,primitive,,torso_collision.stl;waist_yaw_link.STL
rear_spine_black_channel,eye_lip_detail,face_detail,8.0,24.0,184.0,35.33,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_spine_black_channel.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/rear_spine_black_channel.step,primitive,,
rear_left_back_cut_black,eye_lip_detail,face_detail,6.0,8.0,160.0,7.68,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_left_back_cut_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/rear_left_back_cut_black.step,primitive,,
rear_right_back_cut_black,eye_lip_detail,face_detail,6.0,8.0,160.0,7.68,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/rear_right_back_cut_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/rear_right_back_cut_black.step,primitive,,
torso_abdomen_black,black_underbody,underbody,50.0,44.0,82.0,113.54,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/torso_abdomen_black.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/torso_abdomen_black.step,parametric_loft,,waist_yaw_link.STL;waist_roll_link.STL;torso_collision.stl
abdomen_center_armor,orange_armor,armor,6.0,20.0,64.0,7.68,z,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/abdomen_center_armor.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/abdomen_center_armor.step,primitive,,waist_yaw_link.STL;waist_roll_link.STL;torso_collision.stl
abdomen_panel_rib_1,eye_lip_detail,face_detail,6.0,112.0,10.0,6.72,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/abdomen_panel_rib_1.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/abdomen_panel_rib_1.step,primitive,,
abdomen_panel_rib_2,eye_lip_detail,face_detail,6.0,84.0,10.0,5.04,y,True,True,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/meshes/abdomen_panel_rib_2.stl,/home/shaw/milady/eliza/packages/robot/mechanical/unitree-r1-bodykit/out/step/abdomen_panel_rib_2.step,primitive,,
