cu_path	status	obj_bytes
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_3.cu	OK	4762528
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_4.cu	OK	4970752
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_5.cu	OK	5162208
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_6.cu	OK	5297664
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_7.cu	OK	5527360
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_8.cu	OK	5728448
ggml/src/ggml-cuda/template-instances/mmf-instance-ncols_9.cu	OK	6423776
ggml/src/ggml-cuda/template-instances/mmq-instance-iq1_s.cu	OK	16616272
ggml/src/ggml-cuda/template-instances/mmq-instance-iq2_s.cu	OK	19373104
ggml/src/ggml-cuda/template-instances/mmq-instance-iq2_xs.cu	OK	19264336
ggml/src/ggml-cuda/template-instances/mmq-instance-iq2_xxs.cu	OK	16073520
ggml/src/ggml-cuda/template-instances/mmq-instance-iq3_s.cu	OK	16795056
ggml/src/ggml-cuda/template-instances/mmq-instance-iq3_xxs.cu	OK	16470704
ggml/src/ggml-cuda/template-instances/mmq-instance-iq4_nl.cu	OK	16092016
ggml/src/ggml-cuda/template-instances/mmq-instance-iq4_xs.cu	OK	15768528
ggml/src/ggml-cuda/template-instances/mmq-instance-mxfp4.cu	OK	16628848
ggml/src/ggml-cuda/template-instances/mmq-instance-q1_0.cu	OK	15646704
ggml/src/ggml-cuda/template-instances/mmq-instance-q1_0_g128.cu	OK	16143640
ggml/src/ggml-cuda/template-instances/mmq-instance-q2_k.cu	OK	22325680
ggml/src/ggml-cuda/template-instances/mmq-instance-q3_k.cu	OK	19574160
ggml/src/ggml-cuda/template-instances/mmq-instance-q4_0.cu	OK	16856376
ggml/src/ggml-cuda/template-instances/mmq-instance-q4_1.cu	OK	16918680
ggml/src/ggml-cuda/template-instances/mmq-instance-q4_k.cu	OK	16653808
ggml/src/ggml-cuda/template-instances/mmq-instance-q5_0.cu	OK	18186776
ggml/src/ggml-cuda/template-instances/mmq-instance-q5_1.cu	OK	18494552
ggml/src/ggml-cuda/template-instances/mmq-instance-q5_k.cu	OK	17356560
ggml/src/ggml-cuda/template-instances/mmq-instance-q6_k.cu	OK	19406480
ggml/src/ggml-cuda/template-instances/mmq-instance-q8_0.cu	OK	14950168
ggml/src/ggml-cuda/top-k.cu	OK	436232
ggml/src/ggml-cuda/topk-moe.cu	OK	1868192
ggml/src/ggml-cuda/tri.cu	OK	575648
ggml/src/ggml-cuda/tsembd.cu	OK	280264
ggml/src/ggml-cuda/unary.cu	OK	1324408
ggml/src/ggml-cuda/upscale.cu	OK	452208
ggml/src/ggml-cuda/wkv.cu	OK	702224
